|borough|0-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|5-9|60-64|65-69|70-74|75-79|80-84|85-89|90+|
|İstanbul(Pendik)-1835|56785.0|54918.0|49812.0|51325.0|59908.0|65006.0|69151.0|60238.0|52269.0|39137.0|33045.0|56712.0|23674.0|15827.0|10708.0|6594.0|3764.0|2184.0|837.0|
|İstanbul(Sancaktepe)-2054|42748.0|36224.0|32931.0|34288.0|40149.0|43095.0|42309.0|34283.0|29157.0|19810.0|16289.0|39958.0|10199.0|6276.0|4097.0|2413.0|1332.0|856.0|319.0|
|İstanbul(Sarıyer)-1604|18313.0|20456.0|25395.0|31168.0|25410.0|27369.0|31122.0|30561.0|28374.0|23672.0|19581.0|19879.0|15206.0|11374.0|8326.0|5251.0|3053.0|1856.0|848.0|
|İstanbul(Şile)-1659|1855.0|1832.0|2419.0|3055.0|2529.0|2380.0|2465.0|2436.0|2462.0|2632.0|2706.0|1776.0|2647.0|2191.0|1735.0|1267.0|741.0|421.0|143.0|
|İstanbul(Şişli)-1663|12820.0|13444.0|14625.0|21925.0|27358.0|27498.0|26818.0|24234.0|21804.0|18307.0|15625.0|12990.0|12851.0|9633.0|7390.0|5020.0|3544.0|2519.0|1412.0|
|İstanbul(Sultanbeyli)-2014|34171.0|31720.0|29244.0|28803.0|31006.0|29768.0|29060.0|22784.0|20299.0|14413.0|12522.0|32968.0|7978.0|4567.0|2946.0|1836.0|1028.0|621.0|287.0|
|İstanbul(Sultangazi)-2055|49051.0|47363.0|44712.0|43991.0|45588.0|47165.0|48420.0|41978.0|36453.0|25391.0|20296.0|49003.0|13690.0|9278.0|5838.0|3245.0|1675.0|1026.0|402.0|
|İstanbul(Tuzla)-2015|21752.0|20092.0|19293.0|22788.0|23025.0|25238.0|26260.0|22660.0|19155.0|13959.0|11180.0|20895.0|7926.0|5330.0|3559.0|2086.0|1168.0|694.0|340.0|
|İstanbul(Ümraniye)-1852|53775.0|51516.0|48987.0|51803.0|59582.0|64946.0|69999.0|62485.0|54731.0|40863.0|34180.0|53889.0|24389.0|16026.0|10611.0|6178.0|3419.0|2088.0|813.0|
|İstanbul(Üsküdar)-1708|28892.0|31845.0|34280.0|42767.0|44081.0|42959.0|45390.0|44211.0|42082.0|34923.0|31382.0|30173.0|25404.0|18950.0|13833.0|9209.0|5863.0|3878.0|1703.0|
|İstanbul(Zeytinburnu)-1739|20973.0|20531.0|22838.0|29132.0|26311.0|24384.0|24233.0|22358.0|21207.0|16781.0|14634.0|20999.0|10832.0|7466.0|4694.0|2781.0|1804.0|1126.0|490.0|
